A3152KT8N27WTF,{98: 5}
A3PAVAYCO57NZ0,{138063: 5}
AC16XEVWEMJZF,{138288: 5}
A38KQIUM4APMMN,{138288: 5}
AJ3AP9ZIEJLE2,{138071: 1}
A13JH8THNU1VAT,{138071: 5}
A3HEHPBXF3VPIY,{138493: 5}
AA2I0UXM3YD7,{138556: 5}
A3BP3668W0Z42J,"{138092: 5, 379553: 5}"
A26MBPPNO6LTDS,{138092: 2}
A2QA2SAM2BSMIJ,"{138092: 4, 142739: 1, 344469: 5, 344468: 5}"
A30DD4FRHNTV07,{138092: 5}
ALCWLUKK9RLFW,"{138094: 1, 316758: 4}"
A18M81NBZQZZI9,{138110: 4}
A2CUEYS7AWSZTA,{138110: 4}
A3I8IEWJIA7RSO,"{138082: 3, 249370: 5}"
A2V8NSEIDG0UYN,{138107: 5}
AOP5K4K01B0PH,{138539: 5}
A3KXNLX2IP2I6B,{138124: 2}
A1MV85D9QDOBD4,{138124: 5}
A3FQ8ER0U376NO,{138545: 4}
A2LT0TU3N6KZJC,{138066: 4}
A1IZH5DJM1KZ17,"{139733: 5, 300172: 2, 388872: 3}"
AV7ARGVWB4474,{138070: 5}
A1ACBJ6766ZI5B,"{140195: 5, 143799: 5, 270310: 5, 312126: 5, 355300: 5, 440456: 1}"
A36WU9XRTC8MUN,{138125: 5}
A1VW145VLEPERJ,{138706: 4}
AND1471SD0KQ3,{138732: 3}
A2A9ES3S3M5GBI,{138633: 5}
A2MF7VOGCI5WHD,{138230: 5}
A1GI0U4ZRJA8WN,{142244: 1}
A21UJX5CMQWMDC,"{140556: 2, 257190: 1, 361285: 1}"
A287326NYNJ4ZZ,"{140556: 5, 430814: 5}"
A3M9EQEY9RU59U,"{140648: 5, 202355: 3, 274693: 5, 277253: 1, 324206: 5, 335339: 3, 438026: 4}"
A2NEUY05B8Q59F,{140388: 5}
A2E3LXRKRF8SRH,{140388: 5}
A2I7E2G30B7MAB,"{140396: 1, 265547: 5}"
A3U0UF65ABI966,{140396: 3}
A3QLCRW0C7NO3Q,"{140493: 4, 191758: 5, 358858: 4}"
A28FOCY36ZJKNN,{140493: 5}
A1NXKND2C3HS4L,{140398: 1}
A2D4JGL1RC56HS,"{140398: 5, 179920: 3, 409973: 4, 423776: 4, 435486: 5, 452262: 4}"
AC2NE1FP0UYAA,"{140398: 5, 401482: 5, 452334: 2}"
A8VVY62SR8H9K,"{140398: 1, 153825: 1, 256347: 5, 395931: 5}"
A35LNYA7CMDXH9,{140886: 3}
A1NLC8P7G6HJ5T,{140873: 5}
A3Y3DERDQWI76,"{140411: 3, 328152: 4}"
A1QKI3YTFLE8T2,{140825: 4}
A1QURR02WNTK43,"{140436: 1, 221697: 5}"
A21XK9BX8SIMX3,"{140421: 5, 198402: 5, 254113: 3}"
A1R1WDBBUJJYME,{140421: 5}
AWRSOYKV7ZFCR,{140569: 5}
A2YR3B0BPXLSEF,"{141093: 5, 196195: 5}"
A2AV2CNIMS3NWN,"{140374: 5, 260961: 5, 456891: 4}"
AOO7YM1FYM9XZ,"{140503: 4, 440214: 5}"
A1EQ95YY9308MS,"{140855: 5, 191834: 5, 263523: 5}"
A10ZX4WO2DW010,"{140805: 4, 217111: 4, 275463: 2, 307341: 5, 385006: 5}"
A31WTJAXSJ4PKQ,{140483: 1}
AHD25T5J1CSFL,"{140483: 1, 263130: 5, 291149: 5, 412632: 5, 414623: 4}"
A3EHPU9R1O3Z4Q,"{140357: 4, 142618: 3, 430235: 4}"
A1K1DA4YL7GFC8,{140674: 5}
A26PNV30F4A98K,"{140356: 5, 173274: 5, 347336: 5, 431106: 5}"
A1L2ITZK1LWQYF,"{140356: 4, 175135: 4}"
A2PGXXQIMW751Z,"{140356: 5, 226391: 2}"
A1WS0DD52SP12A,"{140356: 5, 405373: 4, 419214: 5}"
A2G5Z39MKX17N9,{140356: 5}
A4F7Q4SZ8FOTF,{140356: 5}
A3DVWI7Y8GE1G5,"{140356: 5, 196127: 5, 281802: 4, 343689: 4}"
A1L7JIVZTKFY6Y,{140656: 4}
A3DRAKSVN0P4W,"{140656: 5, 297907: 4}"
A207ZZ4PRYIIZ1,{141098: 2}
A30WK60PU512Y6,"{140655: 4, 410349: 5}"
A13XWO42K8BSFM,"{140488: 2, 279619: 5}"
ABCQTAOI2Q53P,{141561: 4}
AO2FL1R1OQKMM,"{140472: 4, 172855: 5, 240143: 5, 339877: 1, 368138: 3}"
A1YZJ86JA65P61,{140361: 5}
A3PFM52067VUY,{140361: 4}
A1WCEM4D0KORDH,"{140585: 4, 435541: 4}"
A2ERXPB4GWMCTF,{140427: 5}
A2AO42TUB2ONAU,"{141423: 5, 423773: 5}"
A3IG31IQEK7A3S,{140860: 1}
A1YP05AAT9E4KE,"{140416: 4, 217104: 4, 455940: 4}"
AXA2BWUKVGXWR,"{140416: 3, 284246: 5}"
A2S9NKOYK4EMP1,"{140498: 5, 268575: 4, 408196: 4, 459106: 4}"
A1AS3XEPV7EYM4,{140471: 5}
A2V9NSHNO48393,"{140370: 2, 249580: 3, 250744: 4, 426116: 5}"
A3V2QT4P6CZ5Z0,{140370: 5}
AOPMIQJGF6GVF,{141092: 1}
A1VC3843TDRR8Z,{140701: 5}
A32JURZYEESHAQ,"{142570: 5, 367323: 5}"
AELPL0RJF0SY4,"{140540: 1, 142643: 2}"
A229EZQA09NVLS,{140376: 1}
A5EK0IVBZFR2B,{140376: 1}
A2Z796TAVOE1HK,{142005: 5}
A2CX9866KK8F5F,{140438: 5}
A31RHQ9XE9HJOG,"{140562: 5, 317898: 2}"
A2Y0CMF8L6S1S0,"{140523: 5, 444945: 5}"
A2SKMWNYN62FCW,{142168: 4}
A1SSV3DSZSKLB7,"{141061: 5, 328887: 4}"
A294R4DQALY1E0,"{140418: 1, 338070: 1}"
A199RIHGLYVNQE,{140947: 4}
A3EPS5ASTAZSJT,{140545: 5}
A2F59AVLA18CCT,{140437: 5}
A1DJAVX1403PU9,"{140437: 5, 214951: 5}"
A3SHVGU1J7PHMX,{141588: 5}
A21HH5BH506AVB,{141563: 2}
A3G7A8SD7MI61L,"{140354: 4, 398274: 5, 446710: 5}"
A66SFOG5GGTCL,{140354: 4}
A62Z8UBK0T89D,{140354: 5}
AFOWJMOW0G4CB,"{140354: 4, 358451: 4}"
A21IQ340ZHYEMD,"{140354: 4, 210652: 4, 417349: 4}"
A3GIT9QFPFG06V,"{140354: 5, 198380: 5, 295532: 5, 381764: 5}"
AU4JZO6V4UCEP,{140354: 5}
A1PB6FZMAGYBMD,"{140354: 1, 203428: 1}"
A8DJMN9MN45IJ,{140354: 3}
ATWBH0UXJ723T,{140354: 5}
ACBVQ7MVHKJA2,{140354: 1}
A2M0TSFCS9U0RI,{140354: 5}
AAAXTEIGS85KV,{140354: 4}
A3563NR9761KDG,"{140354: 2, 277023: 5}"
APNA46POHPPH9,{140588: 1}
A15MMZYKINMDJJ,"{140479: 5, 430841: 4}"
A2PGPEQ932N29I,"{140364: 4, 170495: 5}"
A1WPYFOQ2C0XPR,{140481: 4}
A1Y92XHW3DY03Y,{141208: 5}
A14WR9OUWI2XRK,"{141839: 1, 189661: 5, 281936: 5}"
A8FEZHS2RB64R,{140927: 1}
AL0ZNYA8RYHN2,{140927: 3}
A3OYXXO4KEXI77,"{140406: 5, 221684: 5}"
AI76DKTL10Q8F,"{140501: 1, 416502: 5}"
A3UO42K6GHIB7M,{140501: 1}
A1N3U8FXHHU46S,{140392: 2}
A24WEY1K50TLQT,{140535: 1}
A27KLFIU6D9FGM,"{143416: 3, 257622: 4, 406084: 4}"
A1CANDTN1LH46C,"{142712: 4, 235537: 5}"
A37FXGMMGGMWEW,{142712: 5}
AHXK5TW4S7BS3,{143557: 4}
A37B0I2UWDBLI3,"{143768: 5, 399053: 5, 430766: 5}"
A27O3DAD77H9FY,"{142616: 5, 200793: 5, 435628: 5}"
A2UAY4ENGR7CXS,"{143596: 2, 210118: 5, 221703: 4}"
A2ZVL7IV7IIK0M,{142674: 5}
A2PZQ9T9RY15ID,{142674: 5}
A1SRSXEIIEGNAG,{142708: 5}
A34PSL3FJ3XANN,{144375: 4}
A1F6T91IPNW2T7,"{142673: 5, 205432: 5, 228601: 3, 242417: 4, 346902: 5, 407655: 5, 426126: 5, 447472: 4}"
A3R6LXJXAUNQTQ,"{143213: 5, 247023: 5}"
ARDTMKMR4RRSC,"{142700: 4, 381855: 5, 388849: 2}"
A3PG1CVFISOQIA,{142786: 5}
A5XJ52LJZW11B,{142630: 1}
A2SUBJ7YNN6C2T,{142630: 5}
A2MP2EW0NPP65E,{143189: 3}
A1ZYM2FM382Q9J,{142717: 4}
A1I3ZHB88GQK5Y,"{142717: 4, 184808: 5, 307241: 4, 363348: 5}"
A3PHES4ESAFFQF,{142717: 5}
A3EVNUEYDTQUSX,{142782: 5}
A2RTXB1K3H3LXK,"{142814: 4, 403721: 1}"
A1RINBCU45OBH8,{142704: 5}
ATUMMEQEVKDH5,{143222: 5}
AYNQSVOPNLAEP,{142623: 2}
A9EML52AVE5FP,{142615: 4}
ACKRMPLK4RQX8,"{142634: 2, 387493: 3}"
A3F6WU0EJ1KYSZ,"{142634: 5, 228631: 5, 314182: 5}"
A145PNYT12A8Y7,{142634: 5}
A1Z17T9MLYKU6T,{143403: 5}
A2HRT60K0H6NJ2,{143078: 1}
AE3F8J6JRG8YT,{142643: 5}
A1TW1Z8JCAK7LU,{142643: 1}
A2VA595YTJ6NRU,{142643: 5}
A1CTLYVCJH9IS9,{142643: 4}
A1QBVUIMSAIM2J,"{142643: 5, 307151: 4, 351559: 5}"
A1IVTIXGZCOUIS,"{142643: 4, 272551: 4}"
A3CIK3Z3FG0T61,{142643: 1}
A1QXULSJ181UQJ,{142643: 4}
A7DOD8L3CQMZP,{142643: 2}
A10WATA95Q2A3H,{142643: 5}
A1L1Q5QMB1BL1N,{142643: 3}
A239OU9YRG0Q5D,{142849: 4}
A10KBS1VQNMZZE,{142841: 4}
A3IL20N6P6QUTQ,{142711: 5}
A1LUPQS67LH1ZC,{144836: 5}
A2SGEGQ2RE5DLW,"{143251: 1, 257643: 1, 311934: 5}"
A18ACMH2SP5SI1,"{142695: 4, 230987: 5, 447673: 5}"
A29B1JION8F16G,"{143817: 3, 175143: 2, 247027: 4, 323538: 5}"
A2YJ07VIPAZQUJ,"{143817: 1, 358538: 5}"
A2NUIRGSUOTLJG,{142757: 5}
AVZ4EE32Z92LG,{143794: 5}
A2UA3WOGNC17FV,{142737: 5}
A1OV3VB91FM2I9,{142678: 5}
A345SIH5J9MZ2L,{142734: 1}
A364HLRF89LA91,{142833: 5}
A3PIJ45FV5HJR1,{143356: 5}
A1QBY59DRKI8GF,{143040: 5}
A1TZFTI3ADOZBG,"{142779: 5, 388922: 3}"
ASZWI36J46SXC,{143458: 1}
AT5AYLER0K9G,{142741: 1}
A1SS0ONW0MB5QW,"{142686: 5, 344490: 5}"
A1FVBTJUWWZ3G,"{142686: 5, 452650: 4}"
A271P9BZFZTTTQ,{143066: 5}
A1KNNRTUKRKW3G,"{142739: 5, 205976: 1}"
A17KUCXAV34USP,"{143269: 2, 323559: 3}"
AAECAVEHPD6H7,{143184: 3}
ALGHZ9C4JUW02,{142702: 5}
A3GKFNSFEMOIB0,{143226: 5}
A1E2E9WLKTQ7LE,{143320: 4}
A11DOCIF2JJ90O,"{142822: 2, 454369: 5}"
A3PZPT0UWWWK2U,{142822: 1}
A2EUU17DUVWII9,"{143844: 5, 156560: 5, 157473: 4, 409777: 5}"
A1R70CMS797Q7M,{142621: 2}
A1LC9QYAT6M95A,{142621: 4}
A14AHFMGIRF618,{142621: 4}
ARNRJ9O4R4KWF,{142621: 3}
A1WL0JRAWKNQMJ,{142636: 3}
A1EI4R2DQNBVUC,{142691: 5}
A1JKA7FG4NKD5D,{142691: 5}
A3KG2V0VWDMPQR,{142680: 3}
A14O4PCN05SF4L,{142680: 4}
A2NBI4TQTKXYO0,"{142688: 5, 156586: 5}"
A3KBEMPOP5X9DJ,{142706: 1}
A35UDCKZ860RW8,{142648: 2}
A2EPXFUP6V70U8,{142648: 4}
A1600SB454LHE5,"{142648: 1, 203270: 4, 302121: 5, 347012: 5, 353911: 5, 356118: 5, 412415: 5, 412502: 5, 419320: 5}"
A28VLNSZPJVEGQ,{142648: 1}
A3SYQKRS2QZREJ,"{142677: 5, 297882: 5}"
A12GZGNUWPGWLH,{142726: 5}
A3C1KUDUDFCO,{142650: 5}
AEAV2REPVT1J3,{142649: 5}
A18RSA1EYBOPTJ,{142649: 5}
A3BQ8N9MVTAP2P,{142649: 5}
A1Q9GFTZFUHQXS,{142713: 4}
A1EGFRTBA5DKPM,{142984: 4}
A2Z8ZZJXZYDHKG,"{143461: 1, 303326: 5}"
A3JMOLZPBWQQ5Y,{143741: 5}
AKEXWU4X44TEP,{143051: 4}
A2M90IE6UZSXH4,"{142698: 4, 152011: 1}"
A2Y44ZR175CEQ9,"{142864: 4, 212471: 5}"
A1AGVN3LJYYSBY,"{142875: 4, 373143: 5}"
A2B1YJ1R0GUODY,{145163: 5}
A3G9KJYHP7GHFH,{145373: 4}
A1AEPIZ8VT40IW,{145262: 5}
A276UQDQCBY9OE,"{146613: 1, 259336: 1}"
A2K1ULI1QKZ90Y,"{145010: 5, 372611: 5}"
A1DPMC00B2G2DT,{145040: 3}
A1Q2Y81ZW668PS,"{145040: 5, 281745: 2, 339850: 5}"
A3KKMFNGL6UTZW,{145203: 5}
A29Y54NC9DZOJ4,{145203: 3}
AWI01IQYAF6S2,"{144950: 4, 282365: 4}"
A16G4F3M7AP9S0,{147122: 5}
A3C6AOMLOWT3YF,"{145305: 4, 304777: 5}"
A16BA7KFUUZ8RO,{145258: 5}
A3CU7TT9KKJACA,{145033: 1}
A255DEYVFR6MX5,{145033: 5}
A1E4P9EZ87E9HC,{145033: 5}
A34BYYT8F4GKDB,{145033: 1}
AON51W4H711EV,{144916: 5}
A3IG8HKWIL043N,{144916: 1}
A1GO3VWBIVYY4Q,{144971: 1}
AXWKFH0FBYWV2,"{145355: 1, 289385: 1}"
A1U74HGRKQNS5F,{145022: 1}
A31D81XA965KVP,"{145022: 1, 191517: 5, 235740: 5, 344469: 5, 391529: 5}"
A3EY5O12DV2N21,{145022: 5}
A3ARRC4VB2NQVL,"{145022: 5, 330520: 4, 423942: 5}"
A3QAN4WDXJNZK7,"{144920: 5, 346932: 5}"
A1KPBL2PFCRFWV,"{144999: 4, 165896: 3, 244704: 5, 288726: 4, 367962: 5}"
AFRYQH2TQ85DX,"{145019: 5, 363348: 5}"
A3S6Q562784DED,"{144915: 5, 314163: 5}"
ANKSWCYPJPBMN,"{145711: 5, 144905: 5}"
AMG54RMO4TWY0,{145167: 4}
A16GHX7R7G8TOJ,"{145145: 1, 421456: 5}"
A2A11A0CSEFT4G,{145259: 5}
A9916DN1WBS0C,"{145181: 5, 171049: 5, 237798: 5, 377128: 5, 440247: 5, 445303: 5}"
A3KMLZG4ZX4CAM,"{144953: 4, 252660: 4}"
A37CK8XNPYU4PH,{144953: 5}
A1JS2BR0N763V2,{144953: 5}
A3TV1MHBO09BP3,"{144953: 4, 193967: 4, 328737: 4, 333033: 3, 365580: 5}"
APEBV7W02EFWU,{145141: 1}
A1UM7YP1UL1O4U,"{145154: 3, 182294: 1, 423798: 5}"
AXJM7VX2879NR,{145875: 1}
ARX8ALXAOK2V5,{145438: 1}
A2H6OC8WJ5OLQ9,"{144905: 5, 270117: 5, 444954: 5}"
A1SJ2JR8PFV41I,{145270: 4}
A3FVZF2FOU6ZB0,{144912: 5}
A1UI1XNUT1TOIO,{144912: 5}
A19OG7CX70QMMX,"{144912: 5, 339865: 5}"
A3JOZQ5KDSDDOX,{144912: 4}
A2WBUM96G2HAWT,{144970: 4}
A2HZX4BSR8C2Y0,{145826: 4}
A29LP3SL3TIECV,{145215: 3}
A3INJQVZZ2LB7I,{145049: 2}
A31T8LO6C7AIDJ,{145049: 2}
A1TPW09CB2W6CR,"{145375: 5, 339866: 4}"
A2GYZ1QZ621KRY,{145833: 5}
A2421GH4VAKD3B,{146097: 5}
A1W2MEQT8CW4O7,"{145415: 4, 342203: 5, 393574: 4}"
A1XM10WN5YA8JU,{144910: 5}
AE6N56E3W1X3J,{144910: 4}
APAAZJYUE0R9I,"{145612: 2, 243794: 5}"
A17R2BIFI6881P,"{145011: 4, 150305: 4, 456923: 4}"
A18LR661IRJWQ5,"{145788: 4, 357917: 5}"
AVWFK9FQ6M1ZW,{145094: 5}
A3UQ3ATUXDCF8X,{144948: 2}
A2U9S2C3GPY4ZK,{144948: 4}
A2JBY8PHDR254X,"{144947: 4, 316639: 5, 426845: 5}"
AE05AZJPQ59IL,{145015: 4}
A3P2VBA33T0RGX,{145015: 4}
AC82EBBUPBIHJ,{144944: 1}
A3H7BN1O0VC8NZ,{145643: 3}
A2S6WV1O7SDWCA,"{144919: 5, 337628: 4}"
A2IVX3Q1S0XFLV,"{146386: 1, 193772: 5, 207929: 1, 273507: 5, 316467: 1, 325935: 5, 343444: 4}"
A4FQIZEP0AFGI,{144959: 2}
ALNK0UT71W1O1,{145045: 5}
A3P9WB72PCQ2WZ,{144969: 2}
A1SA7XHFLVCKHE,{144969: 1}
A1O86MJ9BGJYG7,"{144921: 5, 249354: 3, 400287: 1}"
A2DOU1I1TDCXE6,{144921: 4}
A1SRVS9XD0UYAC,"{144921: 5, 378712: 5, 461439: 4}"
A3S2Z2S93PE0I0,{144921: 5}
A11B5OF03LO1KT,"{144921: 5, 184613: 5, 437887: 5}"
A12CVLTV4TKXPK,{144921: 4}
A2WRT4DUKW1WUO,{144921: 4}
A7F3OMFEGSBK2,"{145139: 5, 412300: 5}"
A2SPU65Z5G6K0T,{144926: 4}
A1TP63HQUL39GL,{144926: 5}
A3E1YKJGG6PBNH,"{144926: 5, 407744: 5}"
A2AMXS5OPGSH50,{144926: 5}
A4T8XN8SB71F1,{144926: 5}
A21KQ5I35Y2XLF,{144929: 4}
A37K6PXRUJP1Y6,"{145107: 5, 405747: 5, 414880: 5}"
A2IPJPX2R6ZVZK,{146929: 4}
A2E9K6ZXZNKWCT,"{146337: 5, 386525: 5}"
A2KQXXE40J4TKV,{145109: 4}
A3HK2WDNAKIDZD,{145101: 1}
A3TXQK21A052V5,{145169: 1}
AB7PAB75XRFB6,"{145169: 5, 161777: 1, 180083: 5}"
A203B9G839NCD6,"{145169: 4, 244751: 4}"
AYHJ2PXXU2DH4,"{145169: 5, 307459: 5, 311905: 5, 405308: 5}"
ASOAU5T5J3UF2,"{145174: 4, 308207: 3}"
A1IQDG1MNDJQPR,"{144949: 1, 378003: 5}"
A2MJP80WAB9B7L,"{144949: 2, 337673: 4, 435923: 5}"
AFZFDCFFSXUWP,{145138: 3}
A3FKAS74LV5NEW,"{145488: 5, 240270: 5, 255423: 5}"
AOEH2AF7M1DF1,"{145080: 2, 433132: 1}"
A20KXF7LKO83EV,{145457: 4}
AAAJUK8MOKXGY,"{145058: 3, 168192: 4}"
ADAU6Y1U9NL41,"{144924: 1, 346915: 5, 380007: 4}"
A3DQCKKZO5BV2Z,{144924: 2}
A17EGSL4E5CLMF,"{144955: 5, 221684: 4, 365464: 5, 437866: 4}"
A93XN9TBW2W5D,{144955: 4}
A3FWCDN7MLZWTU,{144955: 5}
A34LLIX0B8X69H,{145239: 4}
ALO22VIHP56QF,{145602: 1}
A10S9OB0KGLGOB,{144908: 4}
A1OE3PYXKAXFU5,{145076: 5}
A6J4MNAD147TH,{145076: 1}
A1T7JEN5WX7NGK,{145076: 2}
AR3PR8NBSA3MJ,"{145222: 5, 150002: 5, 212546: 5, 242417: 3, 349525: 5, 372374: 5, 393981: 5, 447333: 5}"
A3M7PQAOD0RUJS,{145005: 5}
A1Z9CNHLKAOVE0,{145226: 5}
AR0ILN4M3MWC5,{145223: 5}
ANG2MOKM8K9RJ,{148022: 4}
A3H02IH9AAGACB,"{147466: 5, 337202: 5}"
A3DFYO2BQKH67T,"{147272: 5, 307598: 5, 447887: 5}"
A3O3JPYDH9Q3Q0,{147300: 4}
A15B34SLE6GGTZ,{147300: 2}
A3LW37SKC7J2ZL,{148372: 1}
AS6776K8SSSR7,{147296: 5}
A972D1F01SDN6,{147296: 5}
A2HSD288D0SH0X,"{147432: 3, 154256: 5, 230950: 5, 256356: 4, 384216: 4}"
A1AXPAYOFPBTAW,{147560: 2}
A156U55VNIQOW5,"{147293: 5, 219563: 5}"
AUGL54HUCPQ1E,{147680: 2}
A3RTDWK09GESB4,"{147261: 5, 345030: 5}"
ABHECJOYUCP8V,{147261: 5}
AVO3O1JRLS1SE,"{147261: 4, 393625: 4}"
A1QPA2KKYSUSLU,"{147261: 5, 342190: 1}"
A2SID2IHS9DED4,{147261: 5}
A23ROVJICHERMK,"{148665: 5, 224561: 5}"
AB6HKOUO1WG8C,{147332: 5}
A1LWZ818T07A3,{147387: 5}
ABBA9JKB4YXHC,"{147420: 5, 379664: 4}"
A1OQ186H5NIJA0,"{147263: 5, 269429: 3, 296634: 5}"
A3TD0AFX2GAS1O,{147444: 3}
AYBI05TNI0CQB,"{148776: 5, 314477: 5}"
A11G0LESYJLM09,"{147623: 4, 242451: 5, 437968: 5}"
A3G9CIBL6EPSR1,{147488: 5}
A3K0M61R6R89VQ,{147488: 4}
AB5X1642QSNZR,{147875: 5}
A21074J0M8XSED,{147875: 3}
A1WXV6HYX8LECX,"{147389: 5, 370662: 5}"
A220C3N5KAB4TK,{147389: 5}
A1RHNUCPN11L4A,"{147896: 4, 323520: 4, 393712: 5}"
ACKVOPZ4KBU36,{147735: 5}
A3CHNHX9YDXIF0,{147318: 4}
A3VHL0CRW0F1AM,{147841: 5}
AHJGM604RKE14,"{148837: 5, 302583: 4}"
A3GUTF21O0CQDZ,{149080: 5}
A3DLGAHEKJHAQ4,"{148741: 4, 461362: 5}"
AH4SL1GLP403O,{147858: 3}
A3IGUSMKJYJ6SZ,{147522: 5}
A2QS5E0N3568O6,"{149140: 4, 210215: 4, 326485: 5}"
A1F3QI2G4ASDIR,{147280: 5}
A2JTGLYFBGFI4L,{147280: 3}
A2LI5X6SVVMEH7,{147280: 5}
A5WMKEE3EDM66,{147280: 5}
AV855Q3LH384X,"{147280: 4, 179891: 4}"
A35116YX6EQ32W,"{147280: 4, 163619: 1, 273481: 3, 361342: 1}"
AN4OV86QR0T13,{147280: 5}
A25TDBSRAYV3UI,{147280: 5}
ACOBPQAOCRZAB,{147280: 5}
A7JB332QMGDKK,{147280: 4}
A3CDJ0XXWRMXBS,{147280: 5}
A2YDUTAHPW656X,"{147280: 4, 152626: 5, 218957: 5, 217472: 5, 354591: 5, 372376: 4, 463638: 3}"
A2GYSSZ3A67X8Q,{147842: 5}
A23AILB0YJBPP0,"{148693: 5, 261036: 5, 388853: 3, 422447: 5}"
A304Y8L4XF0O5I,"{147319: 5, 207726: 4, 434929: 1}"
AK34Q3N01YXLT,{147260: 5}
A4O8ZK9XVPP8S,"{147313: 5, 189458: 3, 268002: 1, 282144: 5, 409973: 5, 449714: 5}"
A341H02CB8CQF5,{147818: 2}
A19WYSRRNY8NY4,{147468: 5}
A3DAL6ZINOLUPR,{148247: 5}
A1D1G3RMKX52GJ,{147555: 4}
A1345IFZS8KE3T,{147692: 1}
A1B5MQ9JKOOPK7,{149279: 5}
A23I6SUCSFJNG6,"{147374: 1, 170546: 5, 389521: 5}"
A846ONYZ9ALKD,{147374: 5}
A22RGKP8VPAFIW,"{147536: 5, 202150: 1}"
AVDF8LNHTEWTE,"{147322: 5, 258659: 5, 307254: 4, 338566: 5, 379713: 5, 379438: 5, 427043: 5}"
A1VRNKBOCRRDC9,{147463: 5}
ANWPYOEWAST5O,{147284: 5}
A2H8Z9JQS85TTX,{147284: 4}
AIAVQ14GPRWGQ,"{147513: 5, 321656: 3}"
A280615V2LF8OM,"{147697: 5, 333165: 5}"
A21HW7FS5GF0UA,"{147324: 4, 418445: 1}"
A1464D22V5YEQT,{147305: 5}
A3RWQ0AFZRWD1E,{147294: 5}
AU2LC5L5IF6FW,{147294: 5}
A1HX3CCPKBKMJU,{147294: 3}
ATN75X0R5QCF5,"{147294: 5, 375423: 3}"
AHMKP0NL0T65U,{147311: 3}
A1WGFT7I6VQFPF,{147797: 5}
A3PSSEIHGMN547,{147333: 5}
A3874LE3ZOVVRJ,"{147269: 5, 228979: 1}"
AFCPM3VY6AEU7,{147262: 5}
A1JT3GETJ954A1,"{147431: 1, 393944: 1}"
A2IE3UAJWH6VS2,{147370: 5}
A3IF1FE47U6NWM,"{147370: 3, 213990: 3}"
AAE5FHSNO5MT,{147796: 5}
A306XHGAWC1LGK,"{150027: 5, 161309: 1}"
A9VQNVH2THZQI,{149985: 3}
A8SEC4ULX9PTI,{150137: 5}
A29R1NOIQJ0JXT,{149597: 2}
A1HVJBN2K0S5XI,"{149597: 5, 156649: 5, 356118: 5, 419293: 5}"
AQPRRK16D59CO,{149776: 1}
A31DPY20FLHADG,{149630: 1}
A2DNJ7KYN1LBE0,{149981: 1}
AVM70474HT1UQ,{149981: 1}
A2G1DRNMS2IBUJ,{149846: 5}
A622IYI8HLXHL,"{149674: 4, 177566: 1, 180010: 1, 205530: 2}"
A2WXDFV2G9VSL7,"{149656: 5, 168166: 5, 217216: 3, 231227: 5}"
A3BYTQJ7UNV6FA,"{149870: 1, 233375: 1}"
A1ZOQ0WKHMGBK8,{149589: 1}
A3OZC2V9PXODW9,{149734: 5}
AIGNPC74CDZU7,{149734: 5}
A1PWIBLSRXZHCG,{149781: 4}
A32K51ZQ0AI5Q2,{149781: 5}
A1JMGVTTN0277W,{149634: 5}
A2MDWGR87F8PDO,{149957: 1}
A1L6KKYKTUOGRN,{149790: 4}
A2NBCR1Q5Z24I1,"{149607: 2, 409986: 4}"
A2JCYE8P7J62FI,{149595: 5}
A27MZFI03RO06Q,{149627: 4}
A65L01KPK2SKU,"{149592: 1, 386995: 5}"
AYOOVXLV5275N,"{149592: 5, 161236: 4, 314796: 5}"
A2Z6NZFJL3OVOM,{149592: 5}
A3IY022HH8IKM2,{149592: 2}
A47LCF1F76FSV,{149596: 5}
A3N2KOEPI00HKK,"{149596: 5, 154142: 1}"
A18BYJG4CKMLWP,{149622: 1}
A1D29ICU1UWGEG,{149622: 4}
A128T5Y28099EV,{149760: 5}
A23V3MP5HKARTY,"{149612: 3, 212488: 4, 365404: 5}"
A33HGLEACGZ2I9,{149612: 5}
A309J80WO4DT4P,"{149612: 4, 290938: 5, 377253: 5, 430767: 5}"
A3Q5PBYCES7VVO,"{149746: 4, 297910: 2, 372601: 4}"
AD4323AOGR5Z3,{149746: 5}
A1M2ME1I6MDMCW,"{149703: 1, 263259: 5}"
A34PM40C2NWB86,"{149703: 5, 456936: 4}"
A1PK377M3XC9TR,{149599: 1}
A2K3GUQZHIHI2Q,{149582: 1}
AECWJ808I2FUD,"{150184: 1, 293284: 1}"
A3AID6MJW03ZAK,{149690: 5}
A1OYZPJZH110DS,{149690: 1}
AGPX8EB3OB913,"{149671: 4, 430766: 5}"
A2YPIUL37AH3VV,{149671: 5}
A6GUZKFVFKCMF,{149671: 4}
ARAB8ZVHZNVPY,{149671: 4}
A1P4V63F7YFSPI,{149671: 3}
A14XI5WFJFC3BY,"{149671: 3, 286589: 1}"
A14BVHUDV5CB1W,"{149671: 5, 241388: 5, 258665: 5, 396001: 5}"
A3MY4QUQKPV0QY,"{149591: 3, 321480: 4}"
ANK7K3LP6PZFV,{149591: 5}
A3688C7Y3YAC4L,"{149827: 5, 384431: 4}"
A3OCFYKSOZMN6W,{149590: 2}
AUHGO7Z3WBDO4,{150085: 5}
A4ZR12EZL98RZ,"{149661: 4, 409999: 5, 456708: 5}"
